
08:02:55 Aguarde ... Processando no servidor.

08:03:45 Recalculando seletividade dos índices GST...

08:03:45 Recalculando seletividade do índice PK_TAB_PROGRAMACAO_GRUPO                                                                     

08:03:46 Recalculando seletividade do índice FK_TAB_PROGRAMACAO_GRUPO                                                                     

08:03:46 Recalculando seletividade do índice PK_TAB_LOG_ESOCIAL                                                                           

08:03:46 Recalculando seletividade do índice PK_TAB_TELA_ACESSO                                                                           

08:03:46 Recalculando seletividade do índice PK_TAB_RELATORIO_PERFIL                                                                      

08:03:46 Recalculando seletividade do índice PK_TAB_RELATORIO_CAMPO                                                                       

08:03:46 Recalculando seletividade do índice FK_TAB_RELATORIO_CAMPO_R                                                                     

08:03:46 Recalculando seletividade do índice PK_TAB_RELATORIO                                                                             

08:03:46 Recalculando seletividade do índice PK_TAB_PAINEL_USUARIO                                                                        

08:03:46 Recalculando seletividade do índice PK_TAB_PAINEL_REL_LINK                                                                       

08:03:46 Recalculando seletividade do índice FK_TAB_PAINEL_REL_L_C                                                                        

08:03:46 Recalculando seletividade do índice FK_TAB_PAINEL_REL_L_C_L                                                                      

08:03:46 Recalculando seletividade do índice FK_TAB_PAINEL_REL_L_R                                                                        

08:03:46 Recalculando seletividade do índice FK_TAB_PAINEL_REL_L_R_L                                                                      

08:03:46 Recalculando seletividade do índice PK_TAB_PAINEL_REL_FILTRO                                                                     

08:03:46 Recalculando seletividade do índice FK_TAB_PAINEL_REL_F_C                                                                        

08:03:46 Recalculando seletividade do índice FK_TAB_PAINEL_REL_F_R                                                                        

08:03:46 Recalculando seletividade do índice PK_TAB_PAINEL_RELATORIO                                                                      

08:03:46 Recalculando seletividade do índice FK_TAB_PAINEL_RELATORIO_A                                                                    

08:03:46 Recalculando seletividade do índice FK_TAB_PAINEL_RELATORIO_R                                                                    

08:03:46 Recalculando seletividade do índice PK_TAB_PAINEL_CATEGORIA                                                                      

08:03:46 Recalculando seletividade do índice PK_TAB_PAINEL_ABA                                                                            

08:03:46 Recalculando seletividade do índice FK_TAB_PAINEL_ABA_P                                                                          

08:03:46 Recalculando seletividade do índice PK_TAB_FORNECEDOR_NOTA_FRET                                                                  

08:03:46 Recalculando seletividade do índice FK_TAB_FORN_NOTA_FRETE                                                                       

08:03:46 Recalculando seletividade do índice FK_TAB_FORN_NOTA_FRETE_FORN                                                                  

08:03:46 Recalculando seletividade do índice PK_TAB_MDFE_SEGURO                                                                           

08:03:46 Recalculando seletividade do índice FK_TAB_MDFE_SEGURO_MDFE                                                                      

08:03:46 Recalculando seletividade do índice PK_TAB_PAINEL                                                                                

08:03:46 Recalculando seletividade do índice FK_TAB_PAINEL_C                                                                              

08:03:46 Recalculando seletividade do índice PK_GRUPO_DFC_CTA_CTB                                                                         

08:03:46 Recalculando seletividade do índice FK_GRUPO_DFC_COD_GRUPO                                                                       

08:03:46 Recalculando seletividade do índice FK_GRUPO_DFC_CTA_CTB                                                                         

08:03:46 Recalculando seletividade do índice PK_TAB_GRUPO_DFC                                                                             

08:03:46 Recalculando seletividade do índice PK_SALDO_INI_DMPL                                                                            

08:03:46 Recalculando seletividade do índice FK_SALDO_INI_CTA                                                                             

08:03:46 Recalculando seletividade do índice FK_SALDO_INI_LOJA                                                                            

08:03:46 Recalculando seletividade do índice PK_CONFIG_DMPL                                                                               

08:03:46 Recalculando seletividade do índice FK_CONFIG_DMPL_CTACTB                                                                        

08:03:46 Recalculando seletividade do índice FK_CONFIG_DMPL_FATOCTB                                                                       

08:03:46 Recalculando seletividade do índice FK_CONFIG_DMPL_LOJA                                                                          

08:03:46 Recalculando seletividade do índice PK_TAB_LOTE_COMPRADOR                                                                        

08:03:46 Recalculando seletividade do índice FK_LOTE_COMPRADOR                                                                            

08:03:46 Recalculando seletividade do índice FK_LOTE_COMPR_LOTE                                                                           

08:03:46 Recalculando seletividade do índice PK_INFO_CONSERVACAO                                                                          

08:03:46 Recalculando seletividade do índice PK_TAB_HISTORICO_REDE                                                                        

08:03:46 Recalculando seletividade do índice PK_TAB_NCM_VALIDACAO                                                                         

08:03:46 Recalculando seletividade do índice PK_TAB_MDFE_UF_PERCURSO                                                                      

08:03:46 Recalculando seletividade do índice FK_TAB_MDFE_UF_PERCURSO_MDFE                                                                 

08:03:46 Recalculando seletividade do índice PK_TAB_MDFE_NFE                                                                              

08:03:46 Recalculando seletividade do índice FK_TAB_MDFE_NFE_MDFE                                                                         

08:03:46 Recalculando seletividade do índice PK_TAB_MDFE_LOG                                                                              

08:03:46 Recalculando seletividade do índice FK_TAB_MDFE_LOG_MDFE                                                                         

08:03:46 Recalculando seletividade do índice PK_TAB_MDFE_DESCARRMTO                                                                       

08:03:46 Recalculando seletividade do índice FK_TAB_MDFE_DESCARRMTO_MDFE                                                                  

08:03:46 Recalculando seletividade do índice PK_TAB_MDFE_CTE                                                                              

08:03:46 Recalculando seletividade do índice FK_TAB_MDFE_CTE_MDFE                                                                         

08:03:46 Recalculando seletividade do índice PK_TAB_MDFE_CARRMTO                                                                          

08:03:46 Recalculando seletividade do índice FK_TAB_MDFE_CARRMTO_MDFE                                                                     

08:03:46 Recalculando seletividade do índice PK_CONF_PRODUTO_LOTE                                                                         

08:03:46 Recalculando seletividade do índice FK_CONF_PROD_LOTE                                                                            

08:03:46 Recalculando seletividade do índice FK_TAB_CONF_PRODUTO                                                                          

08:03:46 Recalculando seletividade do índice PK_TAB_FORN_PROD_RAT_BONIF                                                                   

08:03:46 Recalculando seletividade do índice PK_CONF_LOTE                                                                                 

08:03:46 Recalculando seletividade do índice FK_CONF_LOTE                                                                                 

08:03:46 Recalculando seletividade do índice PK_TAB_AC_CONTRATO_REV                                                                       

08:03:46 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_REV_AGEND                                                                 

08:03:46 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_REV_AG_PG                                                                 

08:03:46 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_REV_CONT                                                                  

08:03:46 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_REV_LJ                                                                    

08:03:46 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_REV_REV                                                                   

08:03:46 Recalculando seletividade do índice PK_TAB_AC_CONTRATO_ITEM_TERC_                                                                

08:03:46 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_ITEM_TERC_A                                                               

08:03:46 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_ITEM_TERC_P                                                               

08:03:46 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_ITEM_TERC_T                                                               

08:03:46 Recalculando seletividade do índice PK_TAB_AC_CONTRATO_ITEM_REV                                                                  

08:03:46 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_ITEM_REV_LJ                                                               

08:03:46 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_ITEM_REV_PR                                                               

08:03:46 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_ITEM_REV_R                                                                

08:03:46 Recalculando seletividade do índice PK_TAB_AC_CONT_HIST_REV                                                                      

08:03:46 Recalculando seletividade do índice PK_TAB_AC_CONT_HIST_ITEM_TERC                                                                

08:03:46 Recalculando seletividade do índice PK_TAB_FATO_CTB                                                                              

08:03:46 Recalculando seletividade do índice PK_TAB_LOG_COLETA                                                                            

08:03:46 Recalculando seletividade do índice PK_TAB_LOG_REINF                                                                             

08:03:46 Recalculando seletividade do índice PK_OUTRAS_INF_CTB                                                                            

08:03:46 Recalculando seletividade do índice FK_OUTRAS_INF_CTB_LOJA                                                                       

08:03:46 Recalculando seletividade do índice FK_OUTRAS_INF_CTB_PLANO_CONTA                                                                

08:03:46 Recalculando seletividade do índice PK_TAB_ESCRIT                                                                                

08:03:46 Recalculando seletividade do índice FK_ESCRIT_SPED_LOJA                                                                          

08:03:46 Recalculando seletividade do índice PK_TAB_MDFE                                                                                  

08:03:46 Recalculando seletividade do índice PK_TAB_DEDUCAO_ISS                                                                           

08:03:46 Recalculando seletividade do índice FK_TAB_DEDUCAO_ISS_1                                                                         

08:03:46 Recalculando seletividade do índice FK_TAB_DEDUCAO_ISS_2                                                                         

08:03:46 Recalculando seletividade do índice PK_TAB_FORN_PROD_XML                                                                         

08:03:46 Recalculando seletividade do índice FK_TAB_FORN_PROD_XML                                                                         

08:03:46 Recalculando seletividade do índice PK_ENTIDADE_CN                                                                               

08:03:46 Recalculando seletividade do índice PK_CONDICAO_CN                                                                               

