
10:17:32 Aguarde ... Processando no servidor.
10:18:24 Recalculando seletividade do índice PK_TAB_AC_CONTRATO_ITEM_TERC_                                                                

10:18:24 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_ITEM_TERC_A                                                               

10:18:24 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_ITEM_TERC_P                                                               

10:18:24 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_ITEM_TERC_T                                                               

10:18:24 Recalculando seletividade do índice PK_TAB_AC_CONTRATO_ITEM_REV                                                                  

10:18:24 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_ITEM_REV_LJ                                                               

10:18:24 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_ITEM_REV_PR                                                               

10:18:24 Recalculando seletividade do índice FK_TAB_AC_CONTRATO_ITEM_REV_R                                                                

10:18:24 Recalculando seletividade do índice PK_TAB_AC_CONT_HIST_REV                                                                      

10:18:24 Recalculando seletividade do índice PK_TAB_AC_CONT_HIST_ITEM_TERC                                                                

10:18:24 Recalculando seletividade do índice PK_TAB_FATO_CTB                                                                              

10:18:24 Recalculando seletividade do índice PK_TAB_LOG_COLETA                                                                            

10:18:24 Recalculando seletividade do índice PK_TAB_LOG_REINF                                                                             

10:18:24 Recalculando seletividade do índice PK_OUTRAS_INF_CTB                                                                            

10:18:24 Recalculando seletividade do índice FK_OUTRAS_INF_CTB_LOJA                                                                       

10:18:24 Recalculando seletividade do índice FK_OUTRAS_INF_CTB_PLANO_CONTA                                                                

10:18:24 Recalculando seletividade do índice PK_TAB_ESCRIT                                                                                

10:18:24 Recalculando seletividade do índice FK_ESCRIT_SPED_LOJA                                                                          

10:18:24 Recalculando seletividade do índice PK_TAB_MDFE                                                                                  

10:18:24 Recalculando seletividade do índice PK_TAB_DEDUCAO_ISS                                                                           

10:18:24 Recalculando seletividade do índice FK_TAB_DEDUCAO_ISS_1                                                                         

10:18:24 Recalculando seletividade do índice FK_TAB_DEDUCAO_ISS_2                                                                         

10:18:24 Recalculando seletividade do índice PK_TAB_FORN_PROD_XML                                                                         

10:18:24 Recalculando seletividade do índice FK_TAB_FORN_PROD_XML                                                                         

10:18:24 Recalculando seletividade do índice PK_ENTIDADE_CN                                                                               

10:18:24 Recalculando seletividade do índice PK_CONDICAO_CN                                                                               

10:18:24 Recalculando seletividade do índice PK_PRODUTO_HIST_TEMP                                                                         

10:18:24 Recalculando seletividade do índice PK_TAB_PROCESSO_JUDICIAL                                                                     

10:18:24 Recalculando seletividade do índice PK_TAB_AC_CONT_HIST_ITEM_REV                                                                 

10:18:24 Recalculando seletividade do índice PK_TAB_OBRA                                                                                  

10:18:24 Recalculando seletividade do índice FK_TAB_OBRA_1                                                                                

10:18:24 Recalculando seletividade do índice FK_TAB_OBRA_2                                                                                

10:18:24 Recalculando seletividade do índice PK_LOJA_ADM_ESTAB                                                                            

10:18:24 Recalculando seletividade do índice FK_ADM                                                                                       

10:18:24 Recalculando seletividade do índice FK_COD_CLIENTE_TAB_CLIENTE                                                                   

10:18:24 Recalculando seletividade do índice PK_TAB_ALTERACAO_CRM                                                                         

10:18:24 Recalculando seletividade do índice RDB$PRIMARY370                                                                               

10:18:24 Recalculando seletividade do índice PK_TAB_LOG_NF_EXC                                                                            

10:18:24 Recalculando seletividade do índice PK_TAB_VALIDADOR_FINANC                                                                      

10:18:24 Recalculando seletividade do índice PK_TRANSFERENCIA_PRODUTO_LOTE                                                                

10:18:24 Recalculando seletividade do índice PK_TAB_PED_PROD_LOTE                                                                         

10:18:24 Recalculando seletividade do índice FK_TAB_PED_PRODUTOS                                                                          

10:18:24 Recalculando seletividade do índice FK_TAB_PED_PROD_LOTE                                                                         

10:18:24 Recalculando seletividade do índice PK_TAB_FORN_NOTA_XML                                                                         

10:18:24 Recalculando seletividade do índice PK_TAB_LOTE_CIDADE                                                                           

10:18:24 Recalculando seletividade do índice FK_CID_LOTE                                                                                  

10:18:24 Recalculando seletividade do índice FK_COD_CID_LOTE                                                                              

10:18:24 Recalculando seletividade do índice FK_DES_SIGLA_LOTE                                                                            

10:18:24 Recalculando seletividade do índice PK_TAB_PESQUISA_SATISFACAO                                                                   

10:18:24 Recalculando seletividade do índice PK_TAB_DOCA                                                                                  

10:18:24 Recalculando seletividade do índice FK_TAB_DOCA_CAMERA                                                                           

10:18:24 Recalculando seletividade do índice PK_TAB_CAMERA                                                                                

10:18:24 Recalculando seletividade do índice FK_TAB_CAMERA_LOJA                                                                           

10:18:24 Recalculando seletividade do índice PK_TAB_PAIS                                                                                  

10:18:24 Recalculando seletividade do índice PK_TAB_LOG_FECHA_PLANO                                                                       

10:18:24 Recalculando seletividade do índice FK_TAB_LOG_FECHA_PLANO_LOJA                                                                  

10:18:24 Recalculando seletividade do índice FK_TAB_LOG_FECHA_PLANO_PLANO                                                                 

10:18:24 Recalculando seletividade do índice RDB$PRIMARY371                                                                               

10:18:24 Recalculando seletividade do índice PK_TAB_LOG_MXF                                                                               

10:18:24 Recalculando seletividade do índice PK_TAB_ACAO_EMAIL_LOJA                                                                       

10:18:24 Recalculando seletividade do índice FK_TAB_ACAO_EMAIL                                                                            

10:18:25 Recalculando seletividade do índice FK_TAB_ACAO_EMAIL_LOJA                                                                       

10:18:25 Recalculando seletividade do índice PK_TAB_LOG_INI_DIA                                                                           

10:18:25 Recalculando seletividade do índice PK_TAB_TRANSF_PROD_VERBA                                                                     

10:18:25 Recalculando seletividade do índice PK_TAB_AUT_COND_FINANC                                                                       

10:18:25 Recalculando seletividade do índice PK_COD_TIPO_REF                                                                              

10:18:25 Recalculando seletividade do índice FK_COD_TIPO                                                                                  

10:18:25 Recalculando seletividade do índice PK_AC_CONTRATO_SELLOUT                                                                       

10:18:25 Recalculando seletividade do índice FK_AC_CONT_SELLOUT_ITEM                                                                      

10:18:25 Recalculando seletividade do índice PK_PERFIL_LOJA                                                                               

10:18:25 Recalculando seletividade do índice FK_PERF_COND_LOJA                                                                            

10:18:25 Recalculando seletividade do índice FK_PERF_ENT_LOJA                                                                             

10:18:25 Recalculando seletividade do índice FK_PERF_SUBCATEG_LOJA                                                                        

10:18:25 Recalculando seletividade do índice FK_TAB_PERFFIL                                                                               

10:18:25 Recalculando seletividade do índice FK_TAB_PERF_LOJA                                                                             

10:18:25 Recalculando seletividade do índice PK_TAB_PRODUTO_MENSAL_DIARIO                                                                 

10:18:28 Recalculando seletividade do índice FK_TAB_PRODUTO_MENSAL_DIARIO                                                                 

10:18:32 Recalculando seletividade do índice PK_TAB_INDICADOR_ECON_SERIE                                                                  

