
07:53:43 Aguarde ... Processando no servidor.

07:54:33 Recalculando seletividade dos índices GST...

07:54:33 Recalculando seletividade do índice PK_TAB_PROGRAMACAO_GRUPO                                                                     

07:54:33 Recalculando seletividade do índice FK_TAB_PROGRAMACAO_GRUPO                                                                     

07:54:33 Recalculando seletividade do índice PK_TAB_LOG_ESOCIAL                                                                           

07:54:33 Recalculando seletividade do índice PK_TAB_TELA_ACESSO                                                                           

07:54:33 Recalculando seletividade do índice PK_TAB_RELATORIO_PERFIL                                                                      

07:54:33 Recalculando seletividade do índice PK_TAB_RELATORIO_CAMPO                                                                       

07:54:33 Recalculando seletividade do índice FK_TAB_RELATORIO_CAMPO_R                                                                     

07:54:33 Recalculando seletividade do índice PK_TAB_RELATORIO                                                                             

07:54:33 Recalculando seletividade do índice PK_TAB_PAINEL_USUARIO                                                                        

07:54:33 Recalculando seletividade do índice PK_TAB_PAINEL_REL_LINK                                                                       

07:54:33 Recalculando seletividade do índice FK_TAB_PAINEL_REL_L_C                                                                        

07:54:33 Recalculando seletividade do índice FK_TAB_PAINEL_REL_L_C_L                                                                      

07:54:33 Recalculando seletividade do índice FK_TAB_PAINEL_REL_L_R                                                                        

07:54:33 Recalculando seletividade do índice FK_TAB_PAINEL_REL_L_R_L                                                                      

07:54:33 Recalculando seletividade do índice PK_TAB_PAINEL_REL_FILTRO                                                                     

07:54:33 Recalculando seletividade do índice FK_TAB_PAINEL_REL_F_C                                                                        

07:54:33 Recalculando seletividade do índice FK_TAB_PAINEL_REL_F_R                                                                        

07:54:33 Recalculando seletividade do índice PK_TAB_PAINEL_RELATORIO                                                                      

07:54:33 Recalculando seletividade do índice FK_TAB_PAINEL_RELATORIO_A                                                                    

07:54:33 Recalculando seletividade do índice FK_TAB_PAINEL_RELATORIO_R                                                                    

07:54:33 Recalculando seletividade do índice PK_TAB_PAINEL_CATEGORIA                                                                      

07:54:33 Recalculando seletividade do índice PK_TAB_PAINEL_ABA                                                                            

07:54:33 Recalculando seletividade do índice FK_TAB_PAINEL_ABA_P                                                                          

07:54:33 Recalculando seletividade do índice PK_TAB_FORNECEDOR_NOTA_FRET                                                                  

07:54:33 Recalculando seletividade do índice FK_TAB_FORN_NOTA_FRETE                                                                       

07:54:33 Recalculando seletividade do índice FK_TAB_FORN_NOTA_FRETE_FORN                                                                  

07:54:33 Recalculando seletividade do índice PK_TAB_MDFE_SEGURO                                                                           

07:54:33 Recalculando seletividade do índice FK_TAB_MDFE_SEGURO_MDFE                                                                      

07:54:33 Recalculando seletividade do índice PK_TAB_PAINEL                                                                                

07:54:33 Recalculando seletividade do índice FK_TAB_PAINEL_C                                                                              

07:54:33 Recalculando seletividade do índice PK_GRUPO_DFC_CTA_CTB                                                                         

07:54:34 Recalculando seletividade do índice FK_GRUPO_DFC_COD_GRUPO                                                                       

07:54:34 Recalculando seletividade do índice FK_GRUPO_DFC_CTA_CTB                                                                         

07:54:34 Recalculando seletividade do índice PK_TAB_GRUPO_DFC                                                                             

07:54:34 Recalculando seletividade do índice PK_SALDO_INI_DMPL                                                                            

07:54:34 Recalculando seletividade do índice FK_SALDO_INI_CTA                                                                             

07:54:34 Recalculando seletividade do índice FK_SALDO_INI_LOJA                                                                            

07:54:34 Recalculando seletividade do índice PK_CONFIG_DMPL                                                                               

07:54:34 Recalculando seletividade do índice FK_CONFIG_DMPL_CTACTB                                                                        

07:54:34 Recalculando seletividade do índice FK_CONFIG_DMPL_FATOCTB                                                                       

07:54:34 Recalculando seletividade do índice FK_CONFIG_DMPL_LOJA                                                                          

